name,metal,app_before,owner_says_right,owner_category,owner_notes
.AKDA SADA,Silver,Not recognised,No,New type (describe in notes),"a sturdy, architectural form with a prominent hook, hinge, or open-ended cuff mechanism"
.ANGUTHI SILVER,Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [125],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [130],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [150],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [200],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [250],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [400],Silver,Ring,Yes,Ring,
.ANGUTHI SILVER-1 [75],Silver,Ring,Yes,Ring,
.BANGLE SILVER,Silver,Bangle,Yes,Bangle,
.BANGLE SILVER-2,Silver,Bangle,Yes,Bangle,
.BAUL-1,Silver,Not recognised,No,Earrings,It’s a mixture between Silver earing and jhumka.
.BELA SADA-1,Silver,Not recognised,No,New type (describe in notes),is a traditional Indian piece of foot jewelry worn on the toes
.BELA SADA-2,Silver,Not recognised,No,New type (describe in notes),is a traditional Indian piece of foot jewelry worn on the toes
.BICHUDI SILVER-2 [100],Silver,Not recognised,No,New type (describe in notes),is a traditional Indian piece of foot jewelry worn on the toes
.CHATRA,Silver,Not recognised,,Not jewellery,"is a sacred, umbrella-shaped ornamental canopy crafted from pure or sterling silver, traditionally placed above deity idols in home mandirs and temples"
.CHIPLYA SILVER-2 [100],Silver,Not recognised,No,New type (describe in notes),"a distinctive style of traditional, handmade silver work defined by scalloped, scale-like, or small shell-shaped metallic elements stacked or linked together. It is a type of ring."
.DABBI [100],Silver,Not recognised,No,Not jewellery,"is a small, traditionally crafted container or box made of pure or sterling silver, typically used to store sacred powders like kumkum, haldi, or sindoor"
.DABBI [250],Silver,Not recognised,No,Not jewellery,"is a small, traditionally crafted container or box made of pure or sterling silver, typically used to store sacred powders like kumkum, haldi, or sindoor"
.DIVA,Silver,Not recognised,No,Not jewellery,A Silver article
.DIVA-1,Silver,Not recognised,No,Not jewellery,A Silver article
.FERVA-2 [85],Silver,Not recognised,No,New type (describe in notes),"a traditional Indian toe ring, also known as bichiya or jodvi, traditionally worn on the second toe of the foot"
.FHUL-1[100],Silver,Not recognised,,Not jewellery,"a traditional, handcrafted ritual item or small ceremonial vessel"
.FULPATRA-1,Silver,Not recognised,,Not jewellery,"a traditional, handcrafted ritual item or small ceremonial vessel"
.FULTODA-2,Silver,Not recognised,No,New type (describe in notes),"is a classic, ornate style of ethnic bangle or bracelet featuring prominent floral-inspired center clusters (ful meaning flower) combined with delicate pearl and colored stone detailing"
.GALSS-1,Silver,Not recognised,No,Not jewellery,A Silver article
.GHANTI,Silver,Not recognised,No,Not jewellery,A Silver article
.GHILODI-1,Silver,Not recognised,No,Not jewellery,A Silver article
.GIFT ITEM SILVER,Silver,Not recognised,No,Not jewellery,A Silver article
.JIBHI/DAT KORNE,Silver,Not recognised,No,New type (describe in notes),it is worn as a functional or celebratory torso accessory
.KADA BACCHA-2,Silver,Kada,Yes,Kada,
.KADA SARDAR SILVER-2,Silver,Kada,Yes,Kada,
.KADA-1,Silver,Kada,Yes,Kada,
AAKDA,Gold,Not recognised,No,New type (describe in notes),a traditional heavy clasp/hook mechanism used in Indian ethnic ornaments
AKDANI GOL 4>,Gold,Not recognised,No,Mala,"Ekdani, meaning ""a single strand of beads"") is a traditional Maharashtrian necklace made with a single row of round, polished golden beads"
ANGUTHI,Gold,Ring,Yes,,
Anguthi Gents,Gold,Ring,Yes,,
Anguthi Ladies,Gold,Ring,Yes,,
ATTACHED CHAIN POTE,Gold,Mangalsutra,Yes,,It is a Mangalsutra attached with a pendant
ATTACHED NANO POTE,Gold,Mangalsutra,Yes,,It is a Mangalsutra attached with a pendant; the word nano meands small black beads are used in it and that portion may have an intricate design
BABY BRACELET,Gold,Bracelet,Yes,,
Bajuband,Gold,Not recognised,No,New type (describe in notes),a traditional piece of Indian jewelry worn snugly around the upper arm (biceps)
Balaji Frames,One Gram,Not recognised,No,New type (describe in notes),They can be any type of gold framed artworks.
BANGLE FANCY 1,Gold,Bangle,Yes,,
BANGLE FANCY 2,Gold,Bangle,Yes,,
BANGLE FANCY 4,Gold,Bangle,Yes,,
BANGLE KANAS 2,Gold,Bangle,Yes,,
BANGLE KANAS 4,Gold,Bangle,Yes,,
BANGLE MACHINE 1,Gold,Bangle,Yes,,
BANGLE MACHINE 2,Gold,Bangle,Yes,,
BANGLE MACHINE 4,Gold,Bangle,Yes,,
BANGLE PURE 1,Gold,Bangle,Yes,,
BANGLE PURE 2,Gold,Bangle,Yes,,
BANGLE PURE 4,Gold,Bangle,Yes,,
Bindi,Gold,Not recognised,No,New type (describe in notes),"a traditional forehead ornament, worn on the center of the forehead between the eyebrows"
BRACELET GENTS HOLLOW,Gold,Bracelet,Yes,,
Bracelet Ladies,Gold,Bracelet,Yes,,
BUNCH CHAIN POTE,Gold,Mangalsutra,Yes,Mangalsutra,"It is a mangalsutra where 3 or 4 machine chains form a bunch and thast where it gets its name from. a multi-stranded or layered gold chain style paired with a ""pot"" (or kalash/vessels) motif pendant or bead structure"
BY BANGLE FANCY 2,Gold,Bangle,Yes,,
BY BANGLE FANCY 4,Gold,Bangle,Yes,,
BY BANGLE MACHINE 2,Gold,Bangle,Yes,,
BY BANGLE MACHINE 4,Gold,Bangle,Yes,,
BY FANCY KANGAN 2,Gold,Bangle,Yes,Bangle,
BY KADA BABY 1,Gold,Kada,Yes,,
BY KADA BABY 2,Gold,Kada,Yes,,
